id,timestamp_utc,i_value
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-20 06:40:02.612,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-20 07:40:01.685,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-20 08:40:03.842,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-20 09:40:01.962,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-20 10:40:10.041,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-20 11:40:01.202,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-20 12:40:02.322,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-20 13:40:01.442,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-20 14:40:07.562,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-20 15:40:05.692,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-20 16:40:01.802,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-20 17:40:01.912,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-20 17:56:58.372,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-20 18:08:58.242,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-20 18:40:01.822,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-20 19:40:02.932,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-20 20:40:05.042,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-20 21:40:02.162,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-20 21:43:05.402,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-20 21:55:03.272,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-20 22:14:04.062,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-20 22:40:02.044,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-20 23:40:02.202,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-21 00:40:02.322,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-21 01:40:02.432,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-21 02:40:03.552,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-21 03:05:04.812,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-21 03:23:58.912,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-21 03:40:04.062,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-21 04:40:08.172,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-21 04:55:00.882,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-21 05:00:01.432,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-21 05:40:06.312,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-21 06:40:08.356,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-21 07:40:10.512,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-21 08:40:03.632,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-21 09:40:04.742,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-21 10:08:30.632,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-21 10:28:01.872,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-21 10:40:06.897,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-21 11:40:07.982,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-21 12:40:12.052,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-21 13:40:11.165,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-21 14:25:57.322,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-21 14:40:11.476,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-21 15:40:05.642,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-21 16:40:08.708,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-21 17:28:07.882,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-21 17:40:06.882,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-21 18:40:05.003,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-21 19:40:06.142,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-21 20:40:06.272,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-21 21:40:07.342,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-21 22:40:08.462,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-21 23:40:06.53,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-22 00:40:05.732,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-22 01:40:05.812,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-22 02:40:06.887,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-22 03:40:06.042,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-22 04:40:09.162,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-22 05:40:10.282,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-22 06:40:08.347,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-22 07:40:07.512,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-22 08:40:06.622,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-22 09:40:06.732,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-22 10:40:08.852,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-22 11:40:06.972,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-22 12:40:09.082,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-22 13:40:08.151,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-22 14:40:09.312,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-22 15:40:08.489,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-22 16:40:09.542,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-22 17:40:15.615,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-22 18:40:07.782,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-22 19:40:07.902,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-22 20:37:28.712,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-22 20:40:09.892,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-22 21:40:08.002,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-22 22:40:10.123,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-22 23:40:08.242,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-23 00:40:08.312,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-23 01:40:09.427,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-23 02:40:09.54,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-23 03:40:08.655,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-23 04:40:08.822,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-23 05:40:08.932,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-23 06:40:10.042,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-23 07:40:11.12,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-23 08:40:09.282,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-23 09:40:09.402,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-23 10:40:09.522,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-23 11:15:59.162,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-23 11:40:09.772,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-23 12:06:13.442,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-23 12:40:12.482,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-23 13:40:09.592,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-23 14:40:09.662,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-23 15:40:09.783,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-23 16:40:13.942,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-23 17:01:03.012,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-23 17:11:12.242,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-23 17:40:12.462,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-23 18:23:07.772,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-23 20:18:11.976,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-23 20:40:18.192,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-23 21:39:36.582,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-23 21:40:13.562,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-23 23:23:14.192,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-24 01:01:21.382,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-24 01:14:04.802,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-24 01:40:20.782,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-24 03:55:27.112,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-24 04:30:18.772,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-24 04:40:17.321,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-24 05:16:02.862,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-24 05:27:29.482,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-24 05:57:04.542,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-24 06:06:09.162,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-24 06:27:04.802,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-24 06:58:11.862,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-24 07:27:01.122,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-24 07:31:05.532,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-24 07:46:03.953,3055
